id_police,bonus_malus,niveau_couverture,duree_contrat_mois,anciennete_situation,frequence_paiement,paiement_usage,usage_vehicule,code_insee,presence_conducteur2,age_conducteur1,age_conducteur2,sexe_conducteur1,sexe_conducteur2,anciennete_permis1,anciennete_permis2,age_vehicule,cylindree,puissance_din,type_carburant,marque_vehicule,modele_vehicule,vitesse_max,type_vehicule,valeur_vehicule,poids_vehicule,code_departement,anciennete_commercialisation,anciennete_fin_commercialisation,montant_total_sinistres,nombre_sinistres,poste_id,latitude,longitude,altitude,mois,precipitations_totales,nb_valeurs_precipitations,precip_max_24h,jour_precip_max,nbj_precip_1mm,nbj_precip_5mm,nbj_precip_10mm,nbj_precip_30mm,nbj_precip_50mm,nbj_precip_100mm,nbj_gelee,amplitude_moyenne,amplitude_maximale,jour_ampli_max,nb_valeurs_amplitude,temperature_moyenne,nb_valeurs_tmoyenne,nb_valeurs_tm,nb_jours_tm_sup24,tmoy_minimale,jour_tmoy_minimale,tmoy_maximale,jour_tmoy_maximale,departement,tranche_age
A00015557-V01,0.5,4,28.0,1.0,1,No,WorkPrivate,72181,Yes,63.0,64.0,M,F,43.0,41.0,4,1598.0,113.0,Gasoline,RENAULT,MEGANE,193.0,Tourism,17950.0,1200,72,2017.0,2019.0,,0.0,72181001.0,47.945833,0.194167,51.0,202301.0,60.3,31.0,15.5,14.0,12.0,4.0,2.0,0.0,0.0,0.0,6.0,5.0,11.8,20.0,31.0,6.5,31.0,31.0,0.0,0.7,29.0,13.3,1.0,72,61-75
A00070047-V01,0.5,3,12.0,1.0,12,No,Retired,85060,No,69.0,,F,,44.0,,12,1997.0,90.0,Diesel,PEUGEOT,_306,181.0,Tourism,18340.0,1200,85,2013.0,2013.0,,0.0,85060002.0,46.477167,-1.725833,27.0,202301.0,90.6,31.0,13.2,14.0,12.0,8.0,4.0,0.0,0.0,0.0,7.0,4.9,11.7,30.0,31.0,7.5,31.0,31.0,0.0,-0.3,22.0,13.1,1.0,85,61-75
A00040362-V01,0.5,4,34.0,5.0,12,No,Retired,11202,No,77.0,,M,,52.0,,5,1390.0,98.0,Gasoline,RENAULT,CLIO,183.0,Tourism,13350.0,"1,135",11,2019.0,2020.0,388.06,1.0,11202001.0,42.917333,3.059667,42.0,202301.0,29.9,31.0,19.2,19.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.9,8.6,11.0,31.0,8.7,31.0,31.0,0.0,2.6,23.0,14.2,2.0,11,76+
A00052406-V01,0.5,3,26.0,1.0,12,No,Retired,21425,No,71.0,,F,,51.0,,16,1870.0,66.0,Diesel,RENAULT,CLIO,161.0,Tourism,12120.0,905,21,2004.0,2010.0,,0.0,21425001.0,47.6285,4.3305,209.0,202301.0,74.0,31.0,12.7,7.0,15.0,8.0,1.0,0.0,0.0,0.0,9.0,4.8,10.2,10.0,31.0,5.0,31.0,31.0,0.0,-0.6,30.0,12.1,1.0,21,61-75
A00021395-V01,0.5,1,3.0,3.0,12,No,WorkPrivate,83004,No,41.0,,F,,23.0,,21,1998.0,150.0,Gasoline,NISSAN,PRIMERA,220.0,Tourism,23356.0,1185,83,2004.0,2007.0,,0.0,83004004.0,43.451,6.470833,55.0,202301.0,10.0,31.0,4.8,8.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,11.1,17.5,31.0,31.0,7.8,31.0,31.0,0.0,1.3,23.0,13.1,3.0,83,31-45
A00045751-V01,0.5,2,12.0,2.0,2,No,WorkPrivate,01338,Yes,53.0,45.0,F,M,33.0,26.0,12,1796.0,120.0,Gasoline,LAND ROVER,FREELANDER,165.0,Tourism,20581.0,1480,01,2012.0,2014.0,,0.0,97410238.0,-21.058833,55.719333,43.0,202301.0,699.6,31.0,324.2,25.0,21.0,18.0,12.0,5.0,3.0,1.0,0.0,7.5,9.4,29.0,31.0,25.8,31.0,31.0,28.0,23.7,24.0,27.0,20.0,01,46-60
A00026969-V01,0.5,3,15.0,3.0,1,No,WorkPrivate,06088,Yes,51.0,58.0,M,F,32.0,31.0,14,1597.0,100.0,Gasoline,NISSAN,PRIMERA,180.0,Tourism,16297.0,1165,06,2010.0,2013.0,,0.0,6088001.0,43.648833,7.209,2.0,202301.0,45.2,31.0,42.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.6,10.4,18.0,31.0,10.3,31.0,31.0,0.0,6.5,21.0,14.5,3.0,06,46-60
A00051563-V01,0.5,3,3.0,2.0,2,No,Professional,35238,No,42.0,,F,,24.0,,10,2151.0,130.0,Diesel,MERCEDES BENZ,SPRINTER,132.0,Commercial,35701.0,0,35,2014.0,2020.0,,0.0,35238003.0,48.126167,-1.6435,66.0,202301.0,65.0,31.0,11.0,15.0,13.0,4.0,1.0,0.0,0.0,0.0,5.0,4.7,8.7,22.0,31.0,7.1,31.0,31.0,0.0,0.9,22.0,12.6,4.0,35,31-45
A00019565-V01,0.5,4,9.0,2.0,2,No,WorkPrivate,39028,No,50.0,,F,,24.0,,8,1896.0,101.0,Diesel,AUDI,A3,188.0,Tourism,24250.0,1170,39,2015.0,2017.0,,0.0,80041001.0,49.883667,1.9295,119.0,202301.0,71.8,31.0,9.2,15.0,15.0,6.0,0.0,0.0,0.0,0.0,9.0,4.8,10.0,20.0,31.0,5.5,31.0,31.0,0.0,-1.0,22.0,11.7,1.0,39,46-60
A00066487-V01,0.5,4,6.0,2.0,1,No,WorkPrivate,83069,No,55.0,,M,,36.0,,6,1398.0,68.0,Diesel,FORD,FIESTA,164.0,Tourism,15800.0,1070,83,2016.0,2022.0,,0.0,83069001.0,43.1005,6.147,2.0,202301.0,23.0,31.0,7.7,8.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,9.1,14.5,13.0,31.0,9.8,31.0,31.0,0.0,5.0,30.0,15.3,1.0,83,46-60
A00074517-V01,0.5,4,10.0,3.0,2,No,WorkPrivate,67482,No,52.0,,M,,31.0,,11,2926.0,184.0,Diesel,BMW,_330,227.0,Tourism,35300.0,1595,67,2013.0,2016.0,,0.0,67482001.0,48.581833,7.768833,139.0,202301.0,34.8,31.0,6.2,8.0,9.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,7.7,4.0,31.0,5.8,31.0,31.0,0.0,-0.6,21.0,14.3,1.0,67,46-60
A00041670-V01,0.5,3,28.0,5.0,2,No,Retired,47323,Yes,61.0,39.0,M,M,43.0,21.0,18,2496.0,71.0,Diesel,FORD,TRANSIT,129.0,Commercial,17105.0,0,47,2005.0,2008.0,,0.0,47323004.0,44.3975,0.764,59.0,202301.0,79.8,31.0,14.8,19.0,12.0,6.0,3.0,0.0,0.0,0.0,9.0,6.0,10.8,12.0,31.0,6.3,31.0,31.0,0.0,-1.3,25.0,15.2,1.0,47,61-75
A00072929-V01,0.5,1,5.0,1.0,1,No,WorkPrivate,06088,Yes,51.0,19.0,M,M,25.0,94.0,8,1896.0,101.0,Diesel,VOLKSWAGEN,PASSAT,191.0,Tourism,22130.0,1361,06,2014.0,2018.0,,0.0,6088001.0,43.648833,7.209,2.0,202301.0,45.2,31.0,42.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.6,10.4,18.0,31.0,10.3,31.0,31.0,0.0,6.5,21.0,14.5,3.0,06,46-60
A00061093-V01,0.5,4,25.0,5.0,1,No,Retired,59183,No,76.0,,M,,50.0,,10,998.0,60.0,Gasoline,NISSAN,MICRA,150.0,Tourism,8370.0,882,59,2015.0,2016.0,,0.0,59183001.0,51.055833,2.3395,11.0,202301.0,67.9,31.0,14.1,15.0,13.0,5.0,2.0,0.0,0.0,0.0,2.0,3.9,9.0,3.0,31.0,7.4,31.0,31.0,0.0,2.6,17.0,12.2,1.0,59,76+
A00079787-V01,0.5,4,2.0,2.0,2,No,Professional,13004,No,52.0,,M,,33.0,,2,2499.0,120.0,Diesel,RENAULT,MASTER,147.0,Commercial,29601.0,0,13,2020.0,2020.0,,0.0,13004003.0,43.51,4.693833,1.0,202301.0,5.2,31.0,2.6,16.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7.5,12.2,11.0,31.0,7.8,31.0,31.0,0.0,3.4,22.0,14.5,1.0,13,46-60
A00021250-V01,0.63,3,15.0,1.0,12,No,WorkPrivate,60057,No,41.0,,M,,19.0,,11,1997.0,90.0,Diesel,PEUGEOT,_306,181.0,Tourism,18340.0,1200,60,2013.0,2013.0,,0.0,60639001.0,49.4465,2.127167,89.0,202301.0,47.4,31.0,8.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,10.0,5.1,13.4,31.0,31.0,5.4,31.0,31.0,0.0,-0.7,22.0,11.8,5.0,60,31-45
A00028447-V01,0.58,2,2.0,2.0,12,No,WorkPrivate,05061,No,49.0,,F,,30.0,,10,1753.0,90.0,Diesel,FORD,FOCUS,184.0,Tourism,18320.0,1277,05,2013.0,2016.0,,0.0,5061009.0,44.577667,6.079833,885.0,202301.0,41.2,31.0,25.4,8.0,4.0,3.0,1.0,0.0,0.0,0.0,19.0,7.4,11.2,11.0,31.0,2.3,31.0,31.0,0.0,-3.9,23.0,10.3,1.0,05,46-60
A00037509-V01,0.5,4,20.0,3.0,2,No,Retired,06090,No,69.0,,M,,47.0,,3,1870.0,131.0,Diesel,RENAULT,SCENIC,192.0,Tourism,26450.0,1430,06,2020.0,2023.0,,0.0,6090002.0,43.602667,6.936667,109.0,202301.0,39.0,31.0,34.8,8.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,9.7,14.6,21.0,31.0,9.5,31.0,31.0,0.0,4.8,23.0,14.4,3.0,06,61-75
A00075421-V01,0.5,4,13.0,3.0,12,No,WorkPrivate,33063,No,33.0,,M,,15.0,,13,1390.0,75.0,Gasoline,RENAULT,CLIO,170.0,Tourism,11419.0,950,33,2012.0,2014.0,,0.0,33063001.0,44.849667,-0.588667,10.0,202301.0,119.5,31.0,23.1,19.0,13.0,8.0,5.0,0.0,0.0,0.0,3.0,5.3,10.4,30.0,31.0,7.8,31.0,31.0,0.0,0.1,22.0,14.3,1.0,33,31-45
A00065932-V01,0.5,4,8.0,2.0,2,No,WorkPrivate,06090,Yes,57.0,34.0,F,M,32.0,18.0,5,1149.0,75.0,Gasoline,RENAULT,CLIO,167.0,Tourism,12450.0,1080,06,2019.0,2021.0,,0.0,6090002.0,43.602667,6.936667,109.0,202301.0,39.0,31.0,34.8,8.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,9.7,14.6,21.0,31.0,9.5,31.0,31.0,0.0,4.8,23.0,14.4,3.0,06,46-60
A00075831-V01,0.5,2,2.0,2.0,12,No,Retired,06004,No,67.0,,F,,28.0,,15,1149.0,59.0,Gasoline,RENAULT,CLIO,160.0,Tourism,11556.0,855,06,2010.0,2011.0,,0.0,6004002.0,43.564667,7.133,75.0,202301.0,58.6,31.0,50.0,8.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,8.0,11.2,19.0,31.0,10.5,31.0,31.0,0.0,6.7,23.0,14.5,3.0,06,61-75
A00010986-V01,0.85,1,1.0,1.0,4,No,WorkPrivate,44109,No,26.0,,F,,7.0,,16,2068.0,64.0,Diesel,RENAULT,TRAFIC,114.0,Commercial,17150.0,0,44,2009.0,2010.0,,0.0,44109012.0,47.227667,-1.514,17.0,202301.0,103.1,31.0,16.0,15.0,17.0,7.0,3.0,0.0,0.0,0.0,4.0,4.7,11.5,20.0,31.0,7.7,31.0,31.0,0.0,0.2,22.0,13.6,1.0,44,18-30
A00056320-V01,0.5,4,12.0,3.0,1,No,WorkPrivate,23030,No,62.0,,F,,41.0,,17,1124.0,60.0,Gasoline,PEUGEOT,_106,165.0,Tourism,10062.0,790,23,2007.0,2010.0,,0.0,23030004.0,45.942333,1.725833,513.0,202301.0,72.4,31.0,20.4,7.0,12.0,4.0,3.0,0.0,0.0,0.0,13.0,3.5,9.5,30.0,31.0,3.6,31.0,31.0,0.0,-3.0,22.0,13.9,1.0,23,61-75
A00080406-V01,0.5,1,21.0,11.0,1,No,WorkPrivate,38185,No,48.0,,M,,30.0,,24,1294.0,66.0,Gasoline,PEUGEOT,_309,162.0,Tourism,10474.0,1290,38,1999.0,2003.0,,0.0,38185012.0,45.2115,5.682833,213.0,202301.0,39.6,31.0,6.4,9.0,10.0,3.0,0.0,0.0,0.0,0.0,7.0,5.8,11.2,1.0,31.0,5.7,31.0,31.0,0.0,-0.2,20.0,15.6,2.0,38,46-60
A00049452-V01,0.5,4,30.0,2.0,1,No,WorkPrivate,66136,No,65.0,,F,,45.0,,2,1397.0,75.0,Gasoline,MINI,MINI,175.0,Tourism,15450.0,1060,66,2023.0,2023.0,666.09,1.0,66136001.0,42.737167,2.872833,42.0,202301.0,19.5,31.0,17.1,19.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,7.3,13.5,11.0,31.0,8.6,31.0,31.0,0.0,3.3,23.0,14.5,3.0,66,61-75
A00000600-V01,0.5,3,20.0,1.0,2,No,Retired,11069,Yes,71.0,37.0,F,F,39.0,18.0,20,903.0,45.0,Gasoline,FIAT,UNO,140.0,Tourism,7150.0,740,11,2000.0,2006.0,,0.0,11069001.0,43.215333,2.2955,128.0,202301.0,82.4,31.0,26.9,16.0,9.0,5.0,3.0,0.0,0.0,0.0,4.0,6.0,12.2,14.0,31.0,6.4,31.0,31.0,0.0,0.2,22.0,14.0,1.0,11,61-75
A00047750-V01,0.5,1,1.0,1.0,1,No,WorkPrivate,52448,Yes,39.0,42.0,F,M,20.0,23.0,12,1149.0,59.0,Gasoline,RENAULT,TWINGO,151.0,Tourism,8522.0,823,52,2012.0,2014.0,,0.0,52448001.0,48.631333,4.903667,139.0,202301.0,77.6,31.0,15.1,14.0,12.0,7.0,3.0,0.0,0.0,0.0,8.0,4.1,8.7,10.0,31.0,5.5,31.0,31.0,0.0,-1.1,20.0,14.7,1.0,52,31-45
A00046202-V01,0.5,4,3.0,3.0,12,No,WorkPrivate,72181,Yes,33.0,36.0,M,F,15.0,18.0,3,1242.0,60.0,Gasoline,FIAT,PANDA,155.0,Tourism,10545.0,865,72,2017.0,2020.0,22.48,1.0,72181001.0,47.945833,0.194167,51.0,202301.0,60.3,31.0,15.5,14.0,12.0,4.0,2.0,0.0,0.0,0.0,6.0,5.0,11.8,20.0,31.0,6.5,31.0,31.0,0.0,0.7,29.0,13.3,1.0,72,31-45
A00046197-V01,0.57,1,1.0,1.0,1,No,WorkPrivate,59512,No,40.0,,M,,11.0,,17,2068.0,89.0,Diesel,RENAULT,ESPACE,160.0,Tourism,26694.0,1350,59,2007.0,2010.0,,0.0,59512001.0,50.7075,3.180333,30.0,202301.0,81.5,31.0,11.7,11.0,17.0,6.0,2.0,0.0,0.0,0.0,8.0,4.5,10.3,29.0,31.0,6.2,31.0,31.0,0.0,0.2,25.0,12.4,1.0,59,31-45
A00013655-V01,0.5,3,2.0,1.0,1,No,Retired,44093,No,61.0,,M,,43.0,,7,1910.0,116.0,Diesel,FIAT,STILO,192.0,Tourism,18000.0,1320,44,2015.0,2018.0,,0.0,32245001.0,43.604667,-0.096667,164.0,202301.0,148.9,31.0,38.6,17.0,12.0,8.0,6.0,2.0,0.0,0.0,5.0,6.7,15.4,14.0,31.0,6.6,31.0,31.0,0.0,-0.5,23.0,11.8,14.0,44,61-75
A00040059-V01,0.5,4,14.0,5.0,1,No,WorkPrivate,35238,Yes,55.0,46.0,M,F,16.0,25.0,13,1870.0,98.0,Diesel,RENAULT,SCENIC,173.0,Tourism,19804.0,1300,35,2012.0,2014.0,,0.0,35238003.0,48.126167,-1.6435,66.0,202301.0,65.0,31.0,11.0,15.0,13.0,4.0,1.0,0.0,0.0,0.0,5.0,4.7,8.7,22.0,31.0,7.1,31.0,31.0,0.0,0.9,22.0,12.6,4.0,35,46-60
A00025607-V01,0.53,3,16.0,2.0,12,No,WorkPrivate,06088,Yes,46.0,44.0,M,F,25.0,23.0,13,1390.0,75.0,Gasoline,RENAULT,MEGANE,170.0,Tourism,13309.0,1015,06,2009.0,2010.0,,0.0,6088001.0,43.648833,7.209,2.0,202301.0,45.2,31.0,42.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.6,10.4,18.0,31.0,10.3,31.0,31.0,0.0,6.5,21.0,14.5,3.0,06,46-60
A00034735-V02,0.5,3,4.0,1.0,2,No,WorkPrivate,77333,Yes,49.0,23.0,F,M,19.0,94.0,13,1870.0,64.0,Diesel,RENAULT,CLIO,161.0,Tourism,11571.0,985,77,2012.0,2012.0,,0.0,77333003.0,48.27,2.715,73.0,202301.0,61.6,31.0,15.2,14.0,11.0,4.0,1.0,0.0,0.0,0.0,6.0,4.4,9.8,29.0,31.0,6.2,31.0,31.0,0.0,-0.4,22.0,14.7,1.0,77,46-60
A00055511-V02,0.5,2,3.0,3.0,12,No,Retired,18057,No,67.0,,F,,35.0,,24,845.0,29.0,Gasoline,RENAULT,R4,115.0,Tourism,5603.0,665,18,1996.0,2000.0,,0.0,18057003.0,46.564,2.2175,243.0,202301.0,47.8,31.0,9.0,16.0,10.0,4.0,0.0,0.0,0.0,0.0,11.0,5.3,13.9,1.0,31.0,5.1,31.0,31.0,0.0,-1.4,22.0,13.1,1.0,18,61-75
A00070292-V01,0.5,4,26.0,3.0,1,No,WorkPrivate,41018,Yes,55.0,53.0,M,F,37.0,28.0,3,1149.0,75.0,Gasoline,RENAULT,CLIO,170.0,Tourism,11250.0,910,41,2015.0,2017.0,,0.0,41018001.0,47.572,1.3375,69.0,202301.0,74.9,31.0,16.9,14.0,12.0,7.0,2.0,0.0,0.0,0.0,8.0,4.5,11.6,3.0,31.0,6.2,31.0,31.0,0.0,-0.6,29.0,14.5,1.0,41,46-60
A00015549-V01,0.5,4,5.0,5.0,2,No,Retired,37261,No,84.0,,F,,48.0,,8,1598.0,108.0,Gasoline,RENAULT,CLIO,188.0,Tourism,18800.0,1020,37,2015.0,2019.0,,0.0,37179001.0,47.4445,0.727333,108.0,202301.0,72.1,31.0,16.7,14.0,12.0,5.0,3.0,0.0,0.0,0.0,8.0,4.2,8.7,10.0,31.0,6.3,31.0,31.0,0.0,0.5,22.0,13.8,1.0,37,76+
A00043102-V01,0.5,1,18.0,3.0,12,No,Retired,83137,No,83.0,,M,,57.0,,16,1905.0,93.0,Diesel,CITROEN,XANTIA,180.0,Tourism,21328.0,1252,83,2007.0,2011.0,,0.0,83137001.0,43.115833,5.900667,3.0,202301.0,20.4,31.0,7.6,8.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,8.7,14.0,31.0,31.0,9.8,31.0,31.0,0.0,4.7,23.0,15.8,1.0,83,76+
A00029677-V01,0.5,4,3.0,3.0,1,No,Retired,53130,No,61.0,,M,,43.0,,11,1997.0,90.0,Diesel,PEUGEOT,PARTNER,163.0,Commercial,16790.0,1110,53,2013.0,2016.0,,0.0,53130008.0,48.030667,-0.7465,100.0,202301.0,66.9,31.0,14.7,14.0,16.0,3.0,2.0,0.0,0.0,0.0,5.0,4.5,8.5,22.0,31.0,6.3,31.0,31.0,0.0,-0.1,23.0,12.1,1.0,53,61-75
A00021560-V01,0.5,4,3.0,3.0,1,No,Retired,59606,No,64.0,,M,,45.0,,5,1896.0,116.0,Diesel,AUDI,A4,201.0,Tourism,27380.0,1390,59,2018.0,2022.0,,0.0,59606004.0,50.328333,3.461,50.0,202301.0,65.4,31.0,8.6,9.0,14.0,5.0,0.0,0.0,0.0,0.0,11.0,4.6,10.6,29.0,31.0,5.4,31.0,31.0,0.0,-1.0,25.0,12.3,1.0,59,61-75
A00011870-V01,0.5,2,12.0,2.0,1,No,Retired,13054,No,69.0,,M,,49.0,,19,1390.0,81.0,Gasoline,RENAULT,CLIO,175.0,Tourism,11510.0,840,13,2006.0,2008.0,,0.0,13054001.0,43.437667,5.216,9.0,202301.0,1.6,31.0,0.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.8,14.3,24.0,31.0,7.7,31.0,31.0,0.0,1.6,27.0,15.7,1.0,13,61-75
A00050964-V01,0.5,2,5.0,2.0,2,No,Professional,74133,No,41.0,,F,,19.0,,12,1998.0,136.0,Gasoline,OPEL,VECTRA,215.0,Tourism,22471.0,1315,74,2010.0,2014.0,,0.0,74133001.0,46.176,6.210333,399.0,202301.0,68.5,31.0,15.7,8.0,12.0,4.0,3.0,0.0,0.0,0.0,11.0,6.4,13.6,15.0,31.0,3.9,31.0,31.0,0.0,-3.0,20.0,10.2,2.0,74,31-45
A00017038-V01,0.5,4,9.0,6.0,2,No,WorkPrivate,29232,Yes,52.0,24.0,F,F,34.0,94.0,10,1360.0,75.0,Gasoline,PEUGEOT,_206,170.0,Tourism,11950.0,950,29,2012.0,2017.0,,0.0,29216001.0,47.973,-4.160667,82.0,202301.0,156.5,31.0,24.2,15.0,20.0,13.0,4.0,0.0,0.0,0.0,4.0,5.1,9.2,20.0,31.0,7.6,31.0,31.0,0.0,1.5,22.0,12.5,4.0,29,46-60
A00042589-V01,0.5,4,15.0,7.0,1,No,WorkPrivate,07279,Yes,44.0,41.0,M,F,25.0,20.0,8,1581.0,104.0,Gasoline,FIAT,MULTIPLA,170.0,Tourism,16715.0,1511,07,2013.0,2017.0,,0.0,7279001.0,44.441833,4.636333,130.0,202301.0,9.2,31.0,4.6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.1,11.1,16.0,31.0,7.2,31.0,31.0,0.0,2.8,19.0,13.3,5.0,07,31-45
A00089382-V01,0.5,3,20.0,3.0,12,No,WorkPrivate,73303,No,54.0,,M,,35.0,,20,1995.0,104.0,Gasoline,RENAULT,R25,178.0,Tourism,18252.0,1190,73,1998.0,2005.0,,0.0,73303005.0,45.759167,6.421,539.0,202301.0,101.7,31.0,21.9,8.0,13.0,7.0,3.0,0.0,0.0,0.0,15.0,7.3,12.0,31.0,31.0,2.9,31.0,31.0,0.0,-3.8,21.0,13.3,1.0,73,46-60
A00025841-V01,0.5,4,22.0,1.0,1,No,Retired,79191,No,54.0,,M,,35.0,,13,1149.0,59.0,Gasoline,RENAULT,CLIO,160.0,Tourism,10962.0,890,79,2012.0,2014.0,,0.0,79191005.0,46.315833,-0.400167,57.0,202301.0,90.1,31.0,20.4,14.0,11.0,7.0,4.0,0.0,0.0,0.0,9.0,5.2,10.2,30.0,31.0,6.3,31.0,31.0,0.0,-0.8,22.0,13.8,1.0,79,46-60
A00069074-V01,0.5,4,7.0,7.0,1,No,Professional,44109,Yes,42.0,42.0,M,F,24.0,23.0,11,1360.0,75.0,Gasoline,PEUGEOT,_306,165.0,Tourism,12547.0,1020,44,2012.0,2013.0,845.15,1.0,44109012.0,47.227667,-1.514,17.0,202301.0,103.1,31.0,16.0,15.0,17.0,7.0,3.0,0.0,0.0,0.0,4.0,4.7,11.5,20.0,31.0,7.7,31.0,31.0,0.0,0.2,22.0,13.6,1.0,44,31-45
A00035166-V01,0.58,4,5.0,5.0,1,No,Retired,44109,No,66.0,,M,,44.0,,7,1360.0,74.0,Gasoline,CITROEN,C3,162.0,Tourism,12950.0,1095,44,2016.0,2016.0,,0.0,44109012.0,47.227667,-1.514,17.0,202301.0,103.1,31.0,16.0,15.0,17.0,7.0,3.0,0.0,0.0,0.0,4.0,4.7,11.5,20.0,31.0,7.7,31.0,31.0,0.0,0.2,22.0,13.6,1.0,44,61-75
A00038215-V02,0.5,4,7.0,7.0,12,No,WorkPrivate,93013,No,62.0,,F,,34.0,,7,1108.0,55.0,Gasoline,FIAT,PANDA,150.0,Tourism,9145.0,840,93,2017.0,2020.0,,0.0,95088001.0,48.967333,2.427667,49.0,202301.0,43.3,31.0,11.5,14.0,11.0,1.0,1.0,0.0,0.0,0.0,10.0,4.4,10.7,31.0,31.0,6.2,31.0,31.0,0.0,0.2,29.0,13.3,1.0,93,61-75
A00024246-V01,0.5,2,30.0,2.0,1,No,Retired,42165,No,64.0,,M,,42.0,,17,1991.0,116.0,Gasoline,FORD,PROBE,204.0,Tourism,21785.0,1190,42,2007.0,2011.0,,0.0,42165003.0,45.804333,4.333833,614.0,202301.0,29.0,31.0,9.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,14.0,4.3,9.7,4.0,31.0,3.2,31.0,31.0,0.0,-3.2,27.0,12.4,1.0,42,61-75
A00073751-V01,0.59,3,10.0,3.0,2,No,WorkPrivate,53130,No,39.0,,F,,16.0,,11,1997.0,111.0,Diesel,PEUGEOT,_806,175.0,Tourism,27441.0,1595,53,2013.0,2014.0,,0.0,53130008.0,48.030667,-0.7465,100.0,202301.0,66.9,31.0,14.7,14.0,16.0,3.0,2.0,0.0,0.0,0.0,5.0,4.5,8.5,22.0,31.0,6.3,31.0,31.0,0.0,-0.1,23.0,12.1,1.0,53,31-45
A00079840-V01,0.5,4,4.0,1.0,12,No,WorkPrivate,25356,No,53.0,,F,,32.0,,2,1461.0,106.0,Diesel,RENAULT,MEGANE,190.0,Tourism,23050.0,1205,25,2022.0,2024.0,,0.0,25356003.0,47.243,6.791,825.0,202301.0,103.6,31.0,28.8,8.0,14.0,7.0,3.0,0.0,0.0,0.0,20.0,6.4,16.3,20.0,31.0,0.5,31.0,31.0,0.0,-10.4,21.0,14.5,1.0,25,46-60
A00062797-V01,0.5,1,3.0,3.0,2,No,WorkPrivate,82121,No,50.0,,M,,31.0,,28,602.0,29.0,Gasoline,CITROEN,2CV 6,115.0,Tourism,3299.0,560,82,1984.0,1995.0,,0.0,82121002.0,44.028,1.376667,106.0,202301.0,82.8,31.0,23.2,17.0,10.0,5.0,3.0,0.0,0.0,0.0,6.0,6.2,14.0,7.0,31.0,5.7,31.0,31.0,0.0,-1.3,25.0,12.1,1.0,82,46-60
A00013882-V01,0.5,4,7.0,1.0,12,No,WorkPrivate,52448,No,40.0,,F,,22.0,,2,1198.0,55.0,Gasoline,VOLKSWAGEN,FOX,148.0,Tourism,8990.0,998,52,2019.0,2020.0,391.13,1.0,52448001.0,48.631333,4.903667,139.0,202301.0,77.6,31.0,15.1,14.0,12.0,7.0,3.0,0.0,0.0,0.0,8.0,4.1,8.7,10.0,31.0,5.5,31.0,31.0,0.0,-1.1,20.0,14.7,1.0,52,31-45
A00076971-V01,0.5,4,25.0,3.0,1,No,Retired,67482,Yes,64.0,64.0,M,F,32.0,38.0,3,1364.0,90.0,Gasoline,OPEL,MERIVA,168.0,Tourism,13690.0,1275,67,2018.0,2023.0,,0.0,67482001.0,48.581833,7.768833,139.0,202301.0,34.8,31.0,6.2,8.0,9.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,7.7,4.0,31.0,5.8,31.0,31.0,0.0,-0.6,21.0,14.3,1.0,67,61-75
A00072839-V01,0.5,1,28.0,5.0,1,No,Retired,64453,No,91.0,,F,,56.0,,23,954.0,45.0,Gasoline,CITROEN,AX,145.0,Tourism,8157.0,640,64,2000.0,2007.0,,0.0,64453002.0,43.203333,-0.113833,343.0,202301.0,166.6,31.0,46.4,16.0,13.0,9.0,6.0,1.0,0.0,0.0,12.0,8.5,18.7,14.0,31.0,5.3,31.0,31.0,0.0,-1.4,22.0,13.1,1.0,64,76+
A00050002-V01,0.59,4,25.0,2.0,2,No,WorkPrivate,03310,Yes,56.0,56.0,M,F,36.0,30.0,4,2149.0,170.0,Diesel,MERCEDES BENZ,C220,229.0,Tourism,34250.0,1510,03,2021.0,2023.0,,0.0,3310001.0,46.117667,3.439,255.0,202301.0,49.4,31.0,7.0,18.0,15.0,4.0,0.0,0.0,0.0,0.0,7.0,4.9,12.3,7.0,31.0,5.2,31.0,31.0,0.0,-0.9,22.0,15.5,1.0,03,46-60
